thumb,youtube,title,episode,transcript
https://lexfridman.com/files/thumbs_ai_podcast/lee_cronin.png,https://www.youtube.com/watch?v=ZecQ64l-gKM,"Origin of Life, Aliens, Complexity, and Consciousness",https://lexfridman.com/lee-cronin,
https://lexfridman.com/files/thumbs_ai_podcast/robert_proctor.png,https://www.youtube.com/watch?v=Y3VBCWIDEzk,Nazi Science and Ideology,https://lexfridman.com/robert-proctor,
https://lexfridman.com/files/thumbs_ai_podcast/mark_zuckerberg.png,https://www.youtube.com/watch?v=5zOHSysMmH0,"Meta, Facebook, Instagram, and the Metaverse",https://lexfridman.com/mark-zuckerberg,
https://lexfridman.com/files/thumbs_ai_podcast/nicole_perlroth.png,https://www.youtube.com/watch?v=hy2G3PhGm-g,Cybersecurity and the Weapons of Cyberwar,https://lexfridman.com/nicole-perlroth,
https://lexfridman.com/files/thumbs_ai_podcast/devon_larratt.png,https://www.youtube.com/watch?v=nvBEXXnNaNQ,Arm Wrestling,https://lexfridman.com/devon-larratt,
https://lexfridman.com/files/thumbs_ai_podcast/tim_urban.png,https://www.youtube.com/watch?v=0Jd7fJgFkPU,"Elon Musk, Neuralink, AI, Aliens, and the Future of Humanity",https://lexfridman.com/tim-urban,
https://lexfridman.com/files/thumbs_ai_podcast/john_abramson.png,https://www.youtube.com/watch?v=arrokG3wCdE,Big Pharma,https://lexfridman.com/john-abramson,
https://lexfridman.com/files/thumbs_ai_podcast/garry_nolan.png,https://www.youtube.com/watch?v=uTCc2-1tbBQ,UFOs and Aliens,https://lexfridman.com/garry-nolan,
https://lexfridman.com/files/thumbs_ai_podcast/philip_goff.png,https://www.youtube.com/watch?v=BCdV6BMMpOo,"Consciousness, Panpsychism, and the Philosophy of Mind",https://lexfridman.com/philip-goff,
https://lexfridman.com/files/thumbs_ai_podcast/georges_st_pierre_john_danaher_gordon_ryan.png,https://www.youtube.com/watch?v=KdmDtqB46Jc,The Greatest of All Time,https://lexfridman.com/georges-st-pierre-john-danaher-gordon-ryan,
https://lexfridman.com/files/thumbs_ai_podcast/thomas_tull.png,https://www.youtube.com/watch?v=3Z7WimACqG8,From Batman Dark Knight Trilogy to AI and The Rolling Stones,https://lexfridman.com/thomas-tull,
https://lexfridman.com/files/thumbs_ai_podcast/yann_lecun_2.png,https://www.youtube.com/watch?v=SGzMElJ11Cc,Dark Matter of Intelligence and Self-Supervised Learning,https://lexfridman.com/yann-lecun-2,
https://lexfridman.com/files/thumbs_ai_podcast/brian_keating.png,https://www.youtube.com/watch?v=nhGwJLXzHs8,"Cosmology, Astrophysics, Aliens & Losing the Nobel Prize",https://lexfridman.com/brian-keating,
https://lexfridman.com/files/thumbs_ai_podcast/nationalism_debate.png,https://www.youtube.com/watch?v=Q24cpnHzx8I,Yaron Brook and Yoram Hazony,https://lexfridman.com/nationalism-debate,
https://lexfridman.com/files/thumbs_ai_podcast/mark_normand.png,https://www.youtube.com/watch?v=WzsivT_Ap1w,Comedy!,https://lexfridman.com/mark-normand,
https://lexfridman.com/files/thumbs_ai_podcast/jay_bhattacharya.png,https://www.youtube.com/watch?v=oIOGUYOPAsA,The Case Against Lockdowns,https://lexfridman.com/jay-bhattacharya,
https://lexfridman.com/files/thumbs_ai_podcast/michael_malice_5.png,https://www.youtube.com/watch?v=B2tXN7ZnSfU,New Year's Special,https://lexfridman.com/michael-malice-5,
https://lexfridman.com/files/thumbs_ai_podcast/elon_musk_3.png,https://www.youtube.com/watch?v=DxREm3s1scA,"SpaceX, Mars, Tesla Autopilot, Self-Driving, Robotics, and AI",https://lexfridman.com/elon-musk-3,
https://lexfridman.com/files/thumbs_ai_podcast/ray_dalio_2.png,https://www.youtube.com/watch?v=TISMidxdZoc,"Money, Power, and the Collapse of Empires",https://lexfridman.com/ray-dalio-2,
https://lexfridman.com/files/thumbs_ai_podcast/peter_wang.png,https://www.youtube.com/watch?v=X0-SXS6zdEQ,"Python and the Source Code of Humans, Computers, and Reality",https://lexfridman.com/peter-wang,
https://lexfridman.com/files/thumbs_ai_podcast/albert_bourla.png,https://www.youtube.com/watch?v=Z_LhPMhkEdw,Pfizer CEO,https://lexfridman.com/albert-bourla,
https://lexfridman.com/files/thumbs_ai_podcast/norman_naimark.png,https://www.youtube.com/watch?v=Vrz8YDl9CeA,"Genocide, Stalin, Hitler, Mao, and Absolute Power",https://lexfridman.com/norman-naimark,
https://lexfridman.com/files/thumbs_ai_podcast/jamie_metzl.png,https://www.youtube.com/watch?v=K78jqx9fx2I,Lab Leak Theory,https://lexfridman.com/jamie-metzl,
https://lexfridman.com/files/thumbs_ai_podcast/peter_woit.png,https://www.youtube.com/watch?v=nDDJFvuFXdc,Theories of Everything & Why String Theory is Not Even Wrong,https://lexfridman.com/peter-woit,
https://lexfridman.com/files/thumbs_ai_podcast/tom_brands.png,https://www.youtube.com/watch?v=Ww6pfsWmkdY,Iowa Wrestling,https://lexfridman.com/tom-brands,
https://lexfridman.com/files/thumbs_ai_podcast/robert_crews.png,https://www.youtube.com/watch?v=CDiqA4SJNpA,"Afghanistan, Taliban, Bin Laden, and War in the Middle East",https://lexfridman.com/robert-crews,
https://lexfridman.com/files/thumbs_ai_podcast/kevin_systrom.png,https://www.youtube.com/watch?v=3pvpNKUPbIY,Instagram,https://lexfridman.com/kevin-systrom,
