episode,thumb,title,person,episode
360,https://lexfridman.com/files/thumbs_ai_podcast/tim_urban_2.png,"Tribalism, Marxism, Liberalism, Social Justice, and Politics",Tim Urban,https://lexfridman.com/tim-urban-2
359,https://lexfridman.com/files/thumbs_ai_podcast/andrew_strominger.png,"Black Holes, Quantum Gravity, and Theoretical Physics",Andrew Strominger,https://lexfridman.com/andrew-strominger
358,https://lexfridman.com/files/thumbs_ai_podcast/aella.png,"Sex Work, OnlyFans, Porn, Escorting, Dating, and Human Sexuality",Aella,https://lexfridman.com/aella
357,https://lexfridman.com/files/thumbs_ai_podcast/paul_conti.png,"Narcissism, Sociopathy, Envy, and the Nature of Good and Evil",Paul Conti,https://lexfridman.com/paul-conti
356,https://lexfridman.com/files/thumbs_ai_podcast/tim_dodd.png,"SpaceX, Starship, Rocket Engines, and Future of Space Travel",Tim Dodd,https://lexfridman.com/tim-dodd
355,https://lexfridman.com/files/thumbs_ai_podcast/david_kipping.png,Alien Civilizations and Habitable Worlds,David Kipping,https://lexfridman.com/david-kipping
354,https://lexfridman.com/files/thumbs_ai_podcast/jeremi_suri_2.png,"Civil War, Slavery, Freedom, and Democracy",Jeremi Suri,https://lexfridman.com/jeremi-suri-2
353,https://lexfridman.com/files/thumbs_ai_podcast/dennis_whyte.png,Nuclear Fusion and the Future of Energy,Dennis Whyte,https://lexfridman.com/dennis-whyte
352,https://lexfridman.com/files/thumbs_ai_podcast/omar_suleiman.png,Islam,Omar Suleiman,https://lexfridman.com/omar-suleiman
351,https://lexfridman.com/files/thumbs_ai_podcast/mrbeast.png,"Future of YouTube, Twitter, TikTok, and Instagram",MrBeast,https://lexfridman.com/mrbeast
350,https://lexfridman.com/files/thumbs_ai_podcast/betul_kacar.png,"Origin of Life, Ancient DNA, Panspermia, and Aliens",Betül Kaçar,https://lexfridman.com/betul-kacar
349,https://lexfridman.com/files/thumbs_ai_podcast/bhaskar_sunkara.png,Socialism and Communism,Bhaskar Sunkara,https://lexfridman.com/bhaskar-sunkara
348,https://lexfridman.com/files/thumbs_ai_podcast/nathalie_cabrol.png,Search for Alien Life,Nathalie Cabrol,https://lexfridman.com/nathalie-cabrol
347,https://lexfridman.com/files/thumbs_ai_podcast/michael_malice_6.png,Christmas Special,Michael Malice,https://lexfridman.com/michael-malice-6
346,https://lexfridman.com/files/thumbs_ai_podcast/ed_calderon.png,Mexican Drug Cartels,Ed Calderon,https://lexfridman.com/ed-calderon
345,https://lexfridman.com/files/thumbs_ai_podcast/coffeezilla.png,"SBF, FTX, Fraud, Scams, Fake Gurus, Money, Fame, and Power",Coffeezilla,https://lexfridman.com/coffeezilla
344,https://lexfridman.com/files/thumbs_ai_podcast/noam_brown.png,AI vs Humans in Poker and Games of Strategic Negotiation,Noam Brown,https://lexfridman.com/noam-brown
343,https://lexfridman.com/files/thumbs_ai_podcast/roger_gracie.png,Greatest Jiu Jitsu Competitor of All Time,Roger Gracie,https://lexfridman.com/roger-gracie
342,https://lexfridman.com/files/thumbs_ai_podcast/todd_howard.png,"Skyrim, Elder Scrolls 6, Fallout, and Starfield",Todd Howard,https://lexfridman.com/todd-howard
341,https://lexfridman.com/files/thumbs_ai_podcast/guido_van_rossum_2.png,Python and the Future of Programming,Guido van Rossum,https://lexfridman.com/guido-van-rossum-2
340,https://lexfridman.com/files/thumbs_ai_podcast/chris_tarbell.png,FBI Agent Who Took Down Silk Road,Chris Tarbell,https://lexfridman.com/chris-tarbell
339,https://lexfridman.com/files/thumbs_ai_podcast/climate_change_debate.png,Bjørn Lomborg and Andrew Revkin,Climate Change Debate,https://lexfridman.com/climate-change-debate
338,https://lexfridman.com/files/thumbs_ai_podcast/chamath_palihapitiya.png,"Money, Success, Startups, Energy, Poker & Happiness",Chamath Palihapitiya,https://lexfridman.com/chamath-palihapitiya
337,https://lexfridman.com/files/thumbs_ai_podcast/destiny.png,"Politics, Free Speech, Controversy, Sex, War, and Relationships",Destiny,https://lexfridman.com/destiny
336,https://lexfridman.com/files/thumbs_ai_podcast/ben_shapiro.png,"Politics, Kanye, Trump, Biden, Hitler, Extremism, and War",Ben Shapiro,https://lexfridman.com/ben-shapiro
335,https://lexfridman.com/files/thumbs_ai_podcast/fiona_hill.png,Vladimir Putin and Donald Trump,Fiona Hill,https://lexfridman.com/fiona-hill
334,https://lexfridman.com/files/thumbs_ai_podcast/abbas_amanat.png,"Iran Protests, Mahsa Amini, History, CIA & Nuclear Weapons",Abbas Amanat,https://lexfridman.com/abbas-amanat
333,https://lexfridman.com/files/thumbs_ai_podcast/andrej_karpathy.png,"Tesla AI, Self-Driving, Optimus, Aliens, and AGI",Andrej Karpathy,https://lexfridman.com/andrej-karpathy
332,https://lexfridman.com/files/thumbs_ai_podcast/ye_aka_kanye_west.png,Kanye 'Ye' West Interview,Kanye 'Ye' West,https://lexfridman.com/ye-aka-kanye-west
331,https://lexfridman.com/files/thumbs_ai_podcast/balaji_srinivasan.png,"How to Fix Government, Twitter, Science, and the FDA",Balaji Srinivasan,https://lexfridman.com/balaji-srinivasan
330,https://lexfridman.com/files/thumbs_ai_podcast/hikaru_nakamura.png,"Chess, Magnus, Kasparov, and the Psychology of Greatness",Hikaru Nakamura,https://lexfridman.com/hikaru-nakamura
329,https://lexfridman.com/files/thumbs_ai_podcast/kate_darling_2.png,"Social Robots, Ethics, Privacy and the Future of MIT",Kate Darling,https://lexfridman.com/kate-darling-2
328,https://lexfridman.com/files/thumbs_ai_podcast/john_danaher_3.png,"Grappling, Jiu Jitsu, ADCC, and Animal Combat",John Danaher,https://lexfridman.com/john-danaher-3
327,https://lexfridman.com/files/thumbs_ai_podcast/gothamchess.png,"Hans Niemann, Magnus Carlsen, Cheating Scandal & Chess Bots",GothamChess,https://lexfridman.com/gothamchess
326,https://lexfridman.com/files/thumbs_ai_podcast/annaka_harris.png,"Free Will, Consciousness, and the Nature of Reality",Annaka Harris,https://lexfridman.com/annaka-harris
325,https://lexfridman.com/files/thumbs_ai_podcast/michael_levin.png,"Biology, Life, Aliens, Evolution, Embryogenesis & Xenobots",Michael Levin,https://lexfridman.com/michael-levin
324,https://lexfridman.com/files/thumbs_ai_podcast/daniel_negreanu.png,Poker,Daniel Negreanu,https://lexfridman.com/daniel-negreanu
323,https://lexfridman.com/files/thumbs_ai_podcast/will_sasso.png,"Comedy, MADtv, AI, Friendship, Madness, and Pro Wrestling",Will Sasso,https://lexfridman.com/will-sasso
322,https://lexfridman.com/files/thumbs_ai_podcast/rana_el_kaliouby.png,"Emotion AI, Social Robots, and Self-Driving Cars",Rana el Kaliouby,https://lexfridman.com/rana-el-kaliouby
321,https://lexfridman.com/files/thumbs_ai_podcast/ray_kurzweil.png,"Singularity, Superintelligence, and Immortality",Ray Kurzweil,https://lexfridman.com/ray-kurzweil
320,https://lexfridman.com/files/thumbs_ai_podcast/christopher_capozzola.png,"World War I, Ideology, Propaganda, and Politics",Christopher Capozzola,https://lexfridman.com/christopher-capozzola
319,https://lexfridman.com/files/thumbs_ai_podcast/botez_sisters.png,"Chess, Streaming, and Fame",Botez Sisters,https://lexfridman.com/botez-sisters
318,https://lexfridman.com/files/thumbs_ai_podcast/nick_lane.png,"Origin of Life, Evolution, Aliens, Biology, and Consciousness",Nick Lane,https://lexfridman.com/nick-lane
317,https://lexfridman.com/files/thumbs_ai_podcast/john_vervaeke.png,"Meaning Crisis, Atheism, Religion & the Search for Wisdom",John Vervaeke,https://lexfridman.com/john-vervaeke
316,https://lexfridman.com/files/thumbs_ai_podcast/noam_chomsky_2.png,"Putin, Ukraine, China, and Nuclear War",Noam Chomsky,https://lexfridman.com/noam-chomsky-2
315,https://lexfridman.com/files/thumbs_ai_podcast/magnus_carlsen.png,Greatest Chess Player of All Time,Magnus Carlsen,https://lexfridman.com/magnus-carlsen
314,https://lexfridman.com/files/thumbs_ai_podcast/liv_boeree.png,"Poker, Game Theory, AI, Simulation, Aliens & Existential Risk",Liv Boeree,https://lexfridman.com/liv-boeree
313,https://lexfridman.com/files/thumbs_ai_podcast/jordan_peterson.png,"Life, Death, Power, Fame, and Meaning",Jordan Peterson,https://lexfridman.com/jordan-peterson
312,https://lexfridman.com/files/thumbs_ai_podcast/duncan_trussell.png,"Comedy, Sentient Robots, Suffering, Love & Burning Man",Duncan Trussell,https://lexfridman.com/duncan-trussell
311,https://lexfridman.com/files/thumbs_ai_podcast/magatte_wade.png,"Africa, Capitalism, Communism, and the Future of Humanity",Magatte Wade,https://lexfridman.com/magatte-wade
310,https://lexfridman.com/files/thumbs_ai_podcast/andrew_bustamante.png,CIA Spy,Andrew Bustamante,https://lexfridman.com/andrew-bustamante
309,https://lexfridman.com/files/thumbs_ai_podcast/john_carmack.png,"Doom, Quake, VR, AGI, Programming, Video Games, and Rockets",John Carmack,https://lexfridman.com/john-carmack
308,https://lexfridman.com/files/thumbs_ai_podcast/ryan_graves.png,"UFOs, Fighter Jets, and Aliens",Ryan Graves,https://lexfridman.com/ryan-graves
307,https://lexfridman.com/files/thumbs_ai_podcast/brian_armstrong.png,"Coinbase, Cryptocurrency, and Government Regulation",Brian Armstrong,https://lexfridman.com/brian-armstrong
306,https://lexfridman.com/files/thumbs_ai_podcast/oriol_vinyals_2.png,Deep Learning and Artificial General Intelligence,Oriol Vinyals,https://lexfridman.com/oriol-vinyals-2
305,https://lexfridman.com/files/thumbs_ai_podcast/martin_rees.png,"Black Holes, Alien Life, Dark Matter, and the Big Bang",Martin Rees,https://lexfridman.com/martin-rees
304,https://lexfridman.com/files/thumbs_ai_podcast/robert_barron.png,Christianity and the Catholic Church,Robert Barron,https://lexfridman.com/robert-barron
303,https://lexfridman.com/files/thumbs_ai_podcast/steve_keen.png,"Marxism, Capitalism, and Economics",Steve Keen,https://lexfridman.com/steve-keen
302,https://lexfridman.com/files/thumbs_ai_podcast/richard_haier.png,"IQ Tests, Human Intelligence, and Group Differences",Richard Haier,https://lexfridman.com/richard-haier
301,https://lexfridman.com/files/thumbs_ai_podcast/jack_barsky.png,KGB Spy,Jack Barsky,https://lexfridman.com/jack-barsky
300,https://lexfridman.com/files/thumbs_ai_podcast/joe_rogan_2.png,"Comedy, Controversy, Aliens, UFOs, Putin, CIA, and Freedom",Joe Rogan,https://lexfridman.com/joe-rogan-2
299,https://lexfridman.com/files/thumbs_ai_podcast/demis_hassabis.png,"DeepMind - AI, Superintelligence & the Future of Humanity",Demis Hassabis,https://lexfridman.com/demis-hassabis
298,https://lexfridman.com/files/thumbs_ai_podcast/susan_cain.png,The Power of Introverts and Loneliness,Susan Cain,https://lexfridman.com/susan-cain
297,https://lexfridman.com/files/thumbs_ai_podcast/jonathan_reisman.png,The Human Body - From Sex & Sperm to Hands & Heart,Jonathan Reisman,https://lexfridman.com/jonathan-reisman
296,https://lexfridman.com/files/thumbs_ai_podcast/douglas_murray.png,"Racism, Marxism, and the War on the West",Douglas Murray,https://lexfridman.com/douglas-murray
295,https://lexfridman.com/files/thumbs_ai_podcast/richard_wolff.png,Marxism and Communism,Richard Wolff,https://lexfridman.com/richard-wolff
294,https://lexfridman.com/files/thumbs_ai_podcast/tony_fadell.png,"iPhone, iPod, Nest, Steve Jobs, Design, and Engineering",Tony Fadell,https://lexfridman.com/tony-fadell
293,https://lexfridman.com/files/thumbs_ai_podcast/donald_hoffman.png,Reality is an Illusion - How Evolution Hid the Truth,Donald Hoffman,https://lexfridman.com/donald-hoffman
292,https://lexfridman.com/files/thumbs_ai_podcast/robin_hanson.png,"Alien Civilizations, UFOs, and the Future of Humanity",Robin Hanson,https://lexfridman.com/robin-hanson
291,https://lexfridman.com/files/thumbs_ai_podcast/jonathan_haidt.png,The Case Against Social Media,Jonathan Haidt,https://lexfridman.com/jonathan-haidt
290,https://lexfridman.com/files/thumbs_ai_podcast/dan_reynolds.png,Imagine Dragons,Dan Reynolds,https://lexfridman.com/dan-reynolds
289,https://lexfridman.com/files/thumbs_ai_podcast/stephen_kotkin_2.png,"Putin, Stalin, Hitler, Zelenskyy, and War in Ukraine",Stephen Kotkin,https://lexfridman.com/stephen-kotkin-2
288,https://lexfridman.com/files/thumbs_ai_podcast/sarma_melngailis.png,"Bad Vegan, Fraud, Prison, and Sociopathy",Sarma Melngailis,https://lexfridman.com/sarma-melngailis
287,https://lexfridman.com/files/thumbs_ai_podcast/bobby_lee.png,"Comedy, Skyrim, Sex Robots, Love, Fame, and Power",Bobby Lee,https://lexfridman.com/bobby-lee
286,https://lexfridman.com/files/thumbs_ai_podcast/oliver_stone.png,Vladimir Putin and War in Ukraine,Oliver Stone,https://lexfridman.com/oliver-stone
285,https://lexfridman.com/files/thumbs_ai_podcast/glenn_loury.png,"Race, Racism, Identity Politics, and Cancel Culture",Glenn Loury,https://lexfridman.com/glenn-loury
284,https://lexfridman.com/files/thumbs_ai_podcast/saifedean_ammous.png,"Bitcoin, Anarchy, and Austrian Economics",Saifedean Ammous,https://lexfridman.com/saifedean-ammous
283,https://lexfridman.com/files/thumbs_ai_podcast/chris_mason.png,"Space Travel, Colonization, and Long-Term Survival in Space",Chris Mason,https://lexfridman.com/chris-mason
